"","DIRECTORIO","SECUENCIA_P","ORDEN.x","CAR","SEC","CONS","REC","ING","I_HOGAR"
"344","7910551","1","1",1,1,0,1,2,4454666.6667
"345","7910552","1","1",0,1,0,0,2,796666.66667
"346","7910553","1","1",0,1,0,0,2,2516666.6667
"347","7910554","1","1",1,1,0,0,2,12265000
"348","7910555","1","1",0,1,0,0,2,4466666.6667
"349","7910556","1","1",0,1,0,0,1,1200000
"350","7910557","1","1",1,1,1,1,3,10500000
"351","7910558","1","1",0,1,0,0,2,1820000
"352","7910559","1","1",1,1,0,1,3,9216666.6667
"353","7910560","1","1",1,1,0,0,2,6640600
"354","7910561","1","1",0,1,0,0,1,574166.66667
"355","7910562","1","1",0,0,0,0,2,1050000
"356","7910564","1","1",1,1,0,1,2,2450000
"357","7910565","1","1",0,0,0,0,1,1600000
"358","7910567","1","1",0,1,0,0,2,650000
"359","7910568","1","1",0,1,0,0,1,2231083.3333
"360","7910569","1","1",0,1,0,0,1,455000
"361","7910570","1","1",0,1,0,0,1,188666.66667
"362","7910572","1","1",0,1,0,0,1,1300000
"363","7910574","1","1",1,1,0,1,2,5312500
"364","7910575","1","1",0,1,0,0,2,752500
"365","7910576","1","1",0,1,0,0,2,2536666.6667
"366","7910577","1","1",1,1,1,0,2,6660000
"367","7910578","1","1",0,1,0,0,1,216666.66667
"368","7910579","1","1",0,0,0,0,1,1600000
"369","7910582","1","1",0,0,0,0,2,4066666.6667
"370","7910583","1","1",1,1,0,0,3,3500000
"371","7910584","1","1",0,1,0,0,2,550000
"372","7910585","1","1",0,1,0,0,2,2300000
"373","7910586","1","1",0,1,0,0,1,1375000
"374","7910589","1","1",0,1,0,0,1,1116666.6667
"375","7910590","1","1",0,1,0,0,2,2383333.3333
"376","7910591","1","1",0,1,0,0,2,3219000
"377","7910592","1","1",0,0,0,0,2,845000
"378","7910593","1","1",0,0,0,0,1,775000
"379","7910594","1","1",0,1,0,0,2,1250000
"380","7910595","1","1",0,0,0,0,2,3202000
"381","7910596","1","1",0,0,0,0,1,869166.66667
"382","7910598","1","1",0,1,0,0,2,1265000
"383","7910600","1","1",0,1,0,0,1,520000
"384","7910602","1","1",0,1,0,0,2,1906666.6667
"385","7910603","1","1",0,1,0,0,2,1171333.3333
"386","7910604","1","1",0,1,0,0,1,1740000
"387","7910605","1","1",0,1,0,0,2,1540000
"388","7910607","1","1",0,1,0,0,1,1762500
"389","7910608","1","1",0,1,0,0,2,2350000
"390","7910609","1","1",1,1,0,0,2,7838333.3333
"391","7910610","1","1",0,1,0,0,2,1865000
"392","7910611","1","1",0,0,0,0,1,166666.66667
"393","7910613","1","1",0,1,0,0,2,1100000
"394","7910615","1","1",0,1,0,0,2,1300000
"395","7910616","1","1",0,1,0,0,2,2400000
"396","7910617","1","1",0,1,0,0,1,1006666.6667
"397","7910618","1","1",0,1,0,0,1,460000
"398","7910619","1","1",0,1,0,0,2,1300000
"399","7910620","1","1",0,0,0,0,2,2961666.6667
"400","7910622","1","1",0,1,0,0,2,1900000
"401","7910623","1","1",0,1,0,0,1,238333.33333
"402","7910627","1","1",0,1,0,0,1,2812500
"403","7910629","1","1",0,1,0,0,2,2365000
"404","7910630","1","1",0,0,0,0,1,1545000
"405","7910631","1","1",0,1,1,1,2,1481000
"406","7910634","1","1",0,1,0,0,1,1400000
"407","7910635","1","1",1,0,0,0,2,2600000
"408","7910636","1","1",0,1,0,0,2,2467500
"409","7910637","1","1",0,1,0,0,1,5e+05
"410","7910638","1","1",0,1,0,0,1,130000
"411","7910640","1","1",0,1,0,0,1,1400000
"412","7910641","1","1",0,1,0,0,2,450000
"413","7910642","1","1",0,1,0,0,2,1508333.3333
"414","7910643","1","1",0,1,0,0,2,4300000
"415","7910644","1","1",1,0,0,1,1,3e+06
"416","7910645","1","1",0,1,0,0,1,525000
"417","7910646","1","1",0,1,0,0,2,1980606
"418","7910647","1","1",0,1,0,0,1,1292500
"419","7910648","1","1",0,1,0,0,1,750000
"420","7910651","1","1",0,1,0,0,2,2753333.3333
"421","7910653","1","1",0,0,0,0,1,4730000
"422","7910654","1","1",0,1,0,0,2,913333.33333
"423","7910655","1","1",0,1,0,0,1,380000
"424","7910656","1","1",0,1,0,0,2,2740866.6667
"425","7910657","1","1",0,1,0,0,2,5779833.3333
"426","7910658","1","1",0,0,0,0,2,1620000
"427","7910659","1","1",0,1,0,0,1,1595000
"428","7910660","1","1",0,0,0,0,2,1982000
"429","7910661","1","1",0,1,0,0,2,690000
"430","7910662","1","1",0,1,0,0,1,604166.66667
"431","7910663","1","1",0,1,0,1,2,283000
"432","7910664","1","1",0,0,0,0,1,1917522.6667
"433","7910665","1","1",0,1,0,0,1,1700000
"434","7910666","1","1",0,0,0,0,1,1250000
"435","7910667","1","1",0,1,0,0,1,1306666.6667
"436","7910668","1","1",0,0,0,0,2,1186666.6667
"437","7910669","1","1",0,1,0,0,1,380000
"438","7910670","1","1",0,1,0,0,1,1700000
"439","7910671","1","1",0,0,0,0,2,1300000
"440","7910672","1","1",0,1,0,0,1,390000
"441","7910673","1","1",0,1,0,0,1,925000
"442","7910674","1","1",0,0,0,0,2,2236666.6667
"443","7910675","1","1",0,1,0,0,2,800833.33333
"444","7910676","1","1",0,1,0,0,2,1490000
"445","7910678","1","1",0,0,0,0,2,956666.66667
"446","7910679","1","1",0,1,0,0,2,1930000
"447","7910680","1","1",0,1,0,0,1,1397272.6667
"448","7910683","1","1",1,1,0,0,2,2600000
"449","7910684","1","1",0,1,0,0,1,1222250
"450","7910685","1","1",0,1,0,1,3,8e+05
"451","7910686","1","1",0,1,0,1,2,1500000
"452","7910687","1","1",0,0,0,0,1,754166.66667
"453","7910688","1","1",0,1,0,0,1,567500
"454","7910690","1","1",0,1,0,0,2,2400000
"455","7910691","1","1",0,1,0,0,1,6e+05
"456","7910692","1","1",0,1,0,0,1,218333.33333
"457","7910694","1","1",0,1,0,0,1,2891666.6667
"458","7910695","1","1",0,1,0,0,2,3775000
"459","7910696","1","1",0,0,0,0,2,1358000
"460","7910697","1","1",0,1,0,0,1,680000
"461","7910700","1","1",0,1,0,0,1,2500000
"462","7910702","1","1",0,1,0,0,1,896666.66667
"463","7910703","1","1",0,1,0,0,1,183333.33333
"464","7910704","1","1",0,1,0,1,3,2477500
"465","7910705","1","1",0,1,0,0,1,1250000
"466","7910706","1","1",0,0,0,0,1,1800000
"467","7910708","1","1",0,0,0,0,2,442500
"468","7910709","1","1",0,0,0,0,1,3053333.3333
"469","7910710","1","1",0,1,0,0,1,2875000
"470","7910712","1","1",0,1,0,1,2,8e+05
"471","7910713","1","1",0,1,0,0,1,750000
"472","7910715","1","1",0,1,0,0,3,2750000
"473","7910716","1","1",0,1,0,0,2,1e+06
"474","7910719","1","1",1,1,0,0,1,1083333.3333
"475","7910720","1","1",0,1,0,0,2,420833.33333
"476","7910721","1","1",0,0,0,0,1,1178000
"477","7910722","1","1",0,1,0,0,1,280833.33333
"478","7910723","1","1",0,1,0,0,1,1790000
"479","7910724","1","1",0,1,0,0,2,1725000
"480","7910725","1","1",0,1,0,0,2,450000
"481","7910726","1","1",0,1,0,0,2,8e+05
"482","7910727","1","1",0,0,0,0,2,1911000
"483","7910728","1","1",0,1,0,0,1,1538000
"484","7910729","1","1",0,0,0,0,1,340833.33333
"485","7910730","1","1",0,0,0,0,2,1245000
"486","7910731","1","1",0,1,0,0,1,429166.66667
"487","7910734","1","1",0,0,0,0,2,3100000
"488","7910735","1","1",1,1,0,1,3,4156100
"489","7910736","1","1",0,1,0,0,1,840000
"490","7910738","1","1",0,1,0,0,1,1041666.6667
"491","7910739","1","1",0,0,0,1,2,4e+05
"492","7910740","1","1",0,1,0,0,2,880000
"493","7910741","1","1",0,1,0,0,1,4240000
"494","7910742","1","1",0,1,0,0,1,480000
"495","7910743","1","1",0,1,0,0,1,340833.33333
"496","7910744","1","1",1,1,0,0,3,5e+06
"497","7910747","1","1",1,1,0,0,2,5230000
"498","7910748","1","1",0,0,0,0,1,595000
"499","7910750","1","1",0,1,0,0,2,4114666.6667
"500","7910753","1","1",0,1,0,1,2,2300000
"501","7910754","1","1",0,1,0,0,1,863333.33333
"502","7910755","1","1",1,1,1,1,2,5399166.6667
"503","7910756","1","1",0,0,0,0,1,1299166.6667
"504","7910757","1","1",0,0,0,0,1,1050000
"505","7910758","1","1",0,1,0,0,2,1550000
"506","7910760","1","1",0,0,0,0,2,1536666.6667
"507","7910761","1","1",1,1,0,0,1,1100000
"508","7910762","1","1",0,0,0,0,1,1335000
"509","7910764","1","1",0,1,0,0,2,3475333.3333
"510","7910765","1","1",0,1,0,0,2,2930000
"511","7910772","1","1",0,1,0,0,1,1266666.6667
"512","7910774","1","1",0,0,0,0,1,1668333.3333
"513","7910775","1","1",0,0,0,0,1,250000
"514","7910777","1","1",0,1,0,0,1,641666.66667
"515","7910778","1","1",0,0,0,0,1,1640000
"516","7910779","1","1",0,1,0,0,1,286166.66667
"517","7910781","1","1",1,1,0,0,2,1545000
"518","7910782","1","1",0,0,0,0,1,850000
"519","7910783","1","1",1,1,0,0,2,3116666.6667
"520","7910787","1","1",0,1,0,0,1,516666.66667
"521","7910789","1","1",1,1,0,0,2,5260000
"522","7910790","1","1",0,1,0,0,1,303000
"523","7910791","1","1",0,1,0,0,2,513333.33333
"524","7910792","1","1",0,1,0,0,1,1033333.3333
"525","7910793","1","1",1,1,0,0,2,6808333.3333
"526","7910794","1","1",0,1,0,0,1,575000
"527","7910796","1","1",0,0,0,0,1,3020000
"528","7910797","1","1",0,0,0,0,2,538333.33333
"529","7910798","1","1",0,1,0,0,2,2380000
"530","7910800","1","1",0,1,0,1,2,1100000
"531","7910801","1","1",0,1,0,0,2,3360000
"532","7910802","1","1",0,1,0,0,2,2040000
"533","7910809","1","1",0,0,0,0,1,3e+05
"534","7910811","1","1",0,0,0,0,1,16666.666667
"535","7910812","1","1",1,1,0,0,2,8991666.6667
