"","DIRECTORIO","SECUENCIA_ENCUESTA","SECUENCIA_P","ORDEN.x","HEST","NEP","ING","CAR","PROB_A","HW","SEC","CONS","REC","I_HOGAR"
"43215",7994043,1,1,1,"3","1","1","2",0.92963,"[40, 50)","1","2","1",2560000
"43216",7994044,1,1,1,"5","2","2","2",0.92963,"[40, 50)","1","2","2",1550500
"43217",7994045,1,1,1,"5","9","2","2",0,"[40, 50)","1","2","2",428333.33333
"43218",7994046,1,1,1,"3","2","1","2",0.02890046,"[40, 50)","1","2","2",2e+06
"43219",7994047,1,1,1,"3","9","1","2",0.72130585,"[40, 50)","1","2","2",180000
"43220",7994048,1,1,1,"3","1","1","2",0.99793798,"40 <","1","2","2",1e+05
"43221",7994049,1,1,1,"5","9","1","2",0,"40 <","1","2","1",70000
"43222",7994050,1,1,1,"3","9","2","2",0.11470257,"[40, 50)","1","2","2",3210000
"43223",7994051,1,1,1,"5","9","1","2",0,"40 <","1","2","1",80000
"43224",7994052,1,1,1,"3","9","1","2",0.02890046,"[40, 50)","1","2","2",1e+05
"43225",7994054,1,1,1,"5","4","1","2",0,"40 <","1","2","1",70000
"43226",7994055,1,1,1,"1","9","1","2",0,"40 <","1","2","1",50000
"43227",7994056,1,1,1,"5","9","1","2",0,"40 <","1","2","1",1e+05
"43228",7994057,1,1,1,"4","2","1","2",0.35529742,"40 <","1","2","2",210000
"43229",7994058,1,1,1,"3","9","1","2",0,"40 <","1","2","1",80000
"43230",7994060,1,1,1,"5","4","1","2",0,"40 <","1","2","1",70000
"43231",7994061,1,1,1,"5","9","1","2",0,"[40, 50)","2","2","1",50000
"43232",7994062,1,1,1,"5","9","1","2",0,"40 <","1","2","1",70000
"43233",7994063,1,1,1,"5","9","1","2",0,"40 <","1","2","1",50000
"43234",7994064,1,1,1,"5","9","1","2",0,"40 <","2","2","1",50000
"43235",7994065,1,1,1,"5","9","1","2",0.72130585,"40 <","1","2","2",475000
"43236",7994066,1,1,1,"3","9","1","2",0,"40 <","2","2","1",320000
"43237",7994067,1,1,1,"3","1","1","2",0.99793798,"[40, 50)","1","2","2",195000
"43238",7994068,1,1,1,"3","9","1","2",0,"40 <","2","2","2",120000
"43239",7994069,1,1,1,"1","9","1","2",0.02890046,"[40, 50)","1","2","2",50000
"43240",7994070,1,1,1,"1","9","1","2",0.02890046,"[40, 50)","2","2","2",125000
"43241",7994071,1,1,1,"1","9","1","2",0.92963,"40 <","2","2","1",80000
"43242",7994072,1,1,1,"1","9","1","2",0.92963,"> 50","2","2","1",70000
"43243",7994073,1,1,1,"1","9","1","2",0,"40 <","2","2","1",70000
"43244",7994074,1,1,1,"1","9","1","2",0,"> 50","2","2","1",80000
"43245",7994075,1,1,1,"1","9","1","2",0,"40 <","2","2","1",120000
"43246",7994076,1,1,1,"3","9","1","2",0.02890046,"40 <","1","2","1",100833.33333
"43247",7994077,1,1,1,"1","9","1","2",0.02890046,"[40, 50)","2","2","1",76666.666667
"43248",7994078,1,1,1,"3","9","1","2",0,"40 <","2","2","1",82500
"43249",7994079,1,1,1,"1","9","1","2",0,"40 <","2","2","2",120833.33333
"43250",7994081,1,1,1,"5","2","1","2",0,"[40, 50)","1","2","2",2115000
"43251",7994082,1,1,1,"5","4","2","1",0,"> 50","1","2","2",2e+06
"43252",7994083,1,1,1,"4","9","1","2",0,"[40, 50)","1","2","2",1410000
"43253",7994084,1,1,1,"1","9","1","2",0,"> 50","1","2","2",80000
"43254",7994086,1,1,1,"5","9","1","2",0,"40 <","1","2","2",1e+05
"43255",7994087,1,1,1,"3","9","1","2",0.11470257,"40 <","1","2","2",235000
"43256",7994088,1,1,1,"3","9","1","2",0.35529742,"> 50","1","2","2",620000
"43257",7994089,1,1,1,"1","9","1","2",0.11470257,"> 50","1","2","2",60000
"43258",7994090,1,1,1,"5","9","1","2",0.72130585,"40 <","1","2","2",340000
"43259",7994094,1,1,1,"13","5","3","1",0,"40 <","1","2","1",6766666.6667
"43260",7994095,1,1,1,"13","8","2","2",0.92963,"[40, 50)","2","2","2",2e+07
"43261",7994097,1,1,1,"5","1","2","2",0,"[40, 50)","1","2","2",750000
"43262",7994098,1,1,1,"3","1","2","2",0.11470257,"[40, 50)","1","2","2",1795000
"43263",7994099,1,1,1,"5","9","2","2",0,"40 <","1","2","2",562500
"43264",7994100,1,1,1,"4","10","1","2",0.35529742,"40 <","1","2","2",598333.33333
"43265",7994101,1,1,1,"3","2","2","2",0,"[40, 50)","1","2","2",121666.66667
"43266",7994102,1,1,1,"3","1","1","2",0.72130585,"40 <","2","2","2",860000
"43267",7994105,1,1,1,"5","2","2","2",0,"[40, 50)","1","2","2",850000
"43268",7994106,1,1,1,"13","2","3","1",0,"[40, 50)","1","2","2",6833333.3333
"43269",7994107,1,1,1,"3","1","1","2",0.02890046,"[40, 50)","1","2","2",1868333.3333
"43270",7994109,1,1,1,"9","7","3","1",0,"[40, 50)","1","2","1",7945833.3333
"43271",7994110,1,1,1,"5","10","2","2",0,"[40, 50)","1","2","2",2256666.6667
"43272",7994112,1,1,1,"4","1","1","2",0.35529742,"> 50","1","2","2",1400000
"43273",7994113,1,1,1,"3","1","2","2",0,"[40, 50)","1","2","2",3130000
"43274",7994114,1,1,1,"7","3","2","2",0,"[40, 50)","1","2","2",525000
"43275",7994115,1,1,1,"1","1","2","2",0,"> 50","1","2","2",1900000
"43277",7994118,1,1,1,"1","10","1","2",0.99007729,"[40, 50)","1","2","2",1072250
"43278",7994119,1,1,1,"5","3","1","2",0.99007729,"> 50","1","2","2",1785833.3333
"43279",7994120,1,1,1,"4","4","1","2",0,"> 50","1","2","2",75000
"43280",7994122,1,1,1,"4","10","1","2",0.35529742,"40 <","1","2","2",1045833.3333
"43281",7994123,1,1,1,"3","10","1","2",0.72130585,"40 <","2","2","1",904166.66667
"43282",7994124,1,1,1,"3","10","1","2",0.11470257,"> 50","1","2","2",6e+05
"43283",7994125,1,1,1,"3","1","1","2",0.99793798,"40 <","1","2","2",8e+05
"43284",7994126,1,1,1,"5","4","1","1",0.92963,"40 <","1","2","2",875833.33333
"43285",7994127,1,1,1,"3","3","2","2",0.35529742,"[40, 50)","1","2","2",450000
"43286",7994128,1,1,1,"5","4","1","2",0.11470257,"> 50","1","2","2",1013333.3333
"43287",7994129,1,1,1,"3","1","1","2",0.72130585,"40 <","1","2","2",9e+05
"43288",7994130,1,1,1,"4","2","2","2",0,"[40, 50)","1","2","2",450000
"43289",7994131,1,1,1,"3","1","1","2",0.11470257,"40 <","1","2","2",1550000
"43290",7994132,1,1,1,"3","10","1","2",0,"40 <","1","2","2",350000
"43291",7994133,1,1,1,"3","9","1","2",0.92963,"40 <","1","2","2",831666.66667
"43292",7994134,1,1,1,"1","9","2","2",0.92963,"40 <","1","2","2",1794000
"43293",7994136,1,1,1,"7","3","1","2",0.72130585,"[40, 50)","1","2","2",1058333.3333
"43294",7994137,1,1,1,"3","9","1","2",0.11470257,"[40, 50)","1","2","2",991666.66667
"43295",7994138,1,1,1,"7","1","1","2",0,"40 <","2","2","1",550000
"43296",7994139,1,1,1,"4","4","2","2",0.35529742,"[40, 50)","1","2","2",1500000
"43297",7994140,1,1,1,"3","9","1","2",0.99793798,"[40, 50)","1","2","2",620833.33333
"43298",7994141,1,1,1,"5","2","1","2",0.35529742,"40 <","1","2","2",740000
"43299",7994142,1,1,1,"5","9","2","2",0,"40 <","1","2","2",2291666.6667
"43300",7994143,1,1,1,"5","2","1","2",0,"[40, 50)","1","2","2",990583.33333
"43301",7994144,1,1,1,"1","4","2","2",0,"[40, 50)","1","2","2",2e+05
"43302",7994145,1,1,1,"3","10","1","2",0,"[40, 50)","1","2","2",1210000
"43303",7994146,1,1,1,"5","2","3","1",0,"[40, 50)","1","2","2",8e+06
"43304",7994147,1,1,1,"1","9","1","2",0.72130585,"40 <","1","2","2",400833.33333
"43305",7994148,1,1,1,"11","10","3","2",0,"[40, 50)","1","2","2",8e+06
"43306",7994149,1,1,1,"4","1","1","2",0.92963,"40 <","1","2","2",1050000
"43307",7994151,1,1,1,"4","10","2","2",0,"[40, 50)","1","2","2",1737000
"43308",7994152,1,1,1,"3","1","2","1",0.02890046,"> 50","1","2","2",4600000
"43309",7994153,1,1,1,"4","1","1","2",0,"40 <","1","2","2",1493333.3333
"43310",7994154,1,1,1,"3","10","1","2",0.99007729,"40 <","1","2","2",780000
